Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.1813,abupt,transolver,pointnet,transolver_pp,regdgcnn,geofno
2,MAPE (%),0.1474,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
3,MAE,0.1376,abupt,transolver_pp,transolver,pointnet,geofno,regdgcnn
4,RMSE,0.1373,abupt,transolver_pp,transolver,pointnet,geofno,regdgcnn
5,R²,0.1373,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,Rel-L2,0.1373,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,MAC,0.1218,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,geofno,abupt,pointnet,transolver_pp,transolver,regdgcnn
10,Inference Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn,abupt
