Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,PSNR,0.1425,vae,vqvae,lsgan,wgan_gp,dcgan,r1gan,wgan_cp,gan,ddpm
2,LPIPS,0.1249,gan,r1gan,wgan_gp,ddpm,dcgan,vqvae,lsgan,vae,wgan_cp
3,MS-SSIM,0.1225,gan,ddpm,wgan_gp,r1gan,dcgan,vqvae,vae,lsgan,wgan_cp
4,FID,0.1148,ddpm,vae,dcgan,r1gan,vqvae,wgan_gp,lsgan,gan,wgan_cp
5,IS,0.1099,wgan_gp,vqvae,r1gan,gan,dcgan,ddpm,lsgan,vae,wgan_cp
6,Precision,0.0973,ddpm,vae,vqvae,dcgan,r1gan,wgan_gp,gan,lsgan,wgan_cp
7,Coverage,0.0973,ddpm,vae,vqvae,dcgan,r1gan,wgan_gp,gan,lsgan,wgan_cp
8,Density,0.0973,ddpm,vae,vqvae,dcgan,r1gan,wgan_gp,gan,lsgan,wgan_cp
9,Recall,0.0935,ddpm,r1gan,dcgan,gan,lsgan,vae,vqvae,wgan_cp,wgan_gp
10,Inference Time (s),0.0,vae,dcgan,lsgan,gan,vqvae,r1gan,wgan_cp,wgan_gp,ddpm
11,Parameters (M),0.0,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
12,Training Time (s),0.0,wgan_cp,vqvae,dcgan,wgan_gp,r1gan,lsgan,vae,gan,ddpm
