Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.2,transolver,abupt,transolver_pp,geofno,regdgcnn,pointnet
2,MAE,0.16,transolver,transolver_pp,regdgcnn,abupt,geofno,pointnet
3,Rel-L2,0.16,transolver,transolver_pp,regdgcnn,abupt,geofno,pointnet
4,R²,0.16,transolver,transolver_pp,regdgcnn,abupt,geofno,pointnet
5,MAPE (%),0.16,transolver,transolver_pp,regdgcnn,abupt,geofno,pointnet
6,RMSE,0.16,transolver,transolver_pp,regdgcnn,abupt,geofno,pointnet
7,Training Time (s),0.0,geofno,regdgcnn,pointnet,transolver_pp,transolver,abupt
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Inference Time (s),0.0,pointnet,transolver_pp,transolver,regdgcnn,abupt,geofno
10,MAC,0.0,abupt,geofno,pointnet,regdgcnn,transolver,transolver_pp
