Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1656,transolver_pp,transolver,regdgcnn,geofno,pointnet
2,MAPE (%),0.1571,transolver_pp,transolver,regdgcnn,geofno,pointnet
3,MAE,0.1428,regdgcnn,transolver,transolver_pp,pointnet,geofno
4,R²,0.1417,transolver,regdgcnn,transolver_pp,geofno,pointnet
5,Rel-L2,0.1417,transolver,regdgcnn,transolver_pp,geofno,pointnet
6,RMSE,0.1417,transolver,regdgcnn,transolver_pp,geofno,pointnet
7,MAC,0.1093,regdgcnn,transolver,transolver_pp,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,transolver,regdgcnn,pointnet,transolver_pp,geofno
