Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.2204,transolver,regdgcnn,abupt,transolver_pp,pointnet,geofno
2,MAPE (%),0.148,transolver_pp,transolver,abupt,regdgcnn,geofno,pointnet
3,MAE,0.1391,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
4,R²,0.1325,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
5,Rel-L2,0.1325,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
6,RMSE,0.1325,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
7,MAC,0.095,transolver,abupt,transolver_pp,regdgcnn,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,geofno,transolver,pointnet,transolver_pp,regdgcnn,abupt
10,Inference Time (s),0.0,pointnet,transolver_pp,transolver,abupt,regdgcnn,geofno
